"Отметка времени","Что вы наблюдали","Какую эмоцию, в основном, испытывали люди?"
"2020/01/25 4:19:17 PM GMT+3","Людей","Радость"
"2020/01/25 4:19:19 PM GMT+3","Людей","Радость"
"2020/01/25 4:19:22 PM GMT+3","Людей","Удивление"
"2020/01/25 4:19:28 PM GMT+3","Людей","Радость"
"2020/01/25 4:19:29 PM GMT+3","Людей","Радость"
"2020/01/25 4:19:34 PM GMT+3","Видео","Удивление"
"2020/01/25 4:19:41 PM GMT+3","Видео","Отвращение"
"2020/01/25 4:19:41 PM GMT+3","Людей","Радость"
"2020/01/25 4:20:02 PM GMT+3","Людей","Радость"
"2020/01/25 4:20:03 PM GMT+3","Людей","Радость"
"2020/01/25 4:20:22 PM GMT+3","Видео","Радость"
"2020/01/25 4:20:25 PM GMT+3","Людей","Удивление"
"2020/01/25 4:20:28 PM GMT+3","Людей","Радость"
"2020/01/25 4:21:18 PM GMT+3","Людей","Радость"
