"Отметка времени","Что вы наблюдали","Валентность (valence)","Возбуждение (arousal)"
"2020/01/25 4:19:35 PM GMT+3","Людей","5","4"
"2020/01/25 4:19:37 PM GMT+3","Людей","4","5"
"2020/01/25 4:19:39 PM GMT+3","Людей","5","4"
"2020/01/25 4:19:41 PM GMT+3","Людей","5","4"
"2020/01/25 4:19:48 PM GMT+3","Людей","5","4"
"2020/01/25 4:19:59 PM GMT+3","Людей","2","4"
"2020/01/25 4:20:02 PM GMT+3","Людей","5","5"
"2020/01/25 4:20:16 PM GMT+3","Людей","4","4"
"2020/01/25 4:20:25 PM GMT+3","Видео","4","4"
"2020/01/25 4:20:26 PM GMT+3","Видео","1","3"
"2020/01/25 4:20:27 PM GMT+3","Людей","5","4"
"2020/01/25 4:20:38 PM GMT+3","Людей","4","5"
"2020/01/25 4:20:45 PM GMT+3","Видео","4","3"
"2020/01/25 4:21:29 PM GMT+3","Людей","5","4"
